순번,법무법인명,주소
1,법무법인(유한)정진,"서울특별시 서초구 서초대로 396 (서초동, 강남빌딩) 20층"
2,법무법인케이알,"서울특별시 서초구 서초대로 334 (서초동, 브라운스톤서초) 2층"
3,공증인가전주합동법률사무소,"전라북도 전주시 완산구 대동로 67 (태평동, 상진신협) 4층"
4,법무법인성심종합,"서울특별시 광진구 아차산로 397 (구의동, 덕운빌딩) 덕운빌딩 2층 "
5,법무법인(유한)에이스,서울특별시 서초구 고무래로 6-6 선경빌딩 1~2층
6,법무법인산지,"서울특별시 서초구 서초중앙로 125 (서초동, 로이어즈타워) 1층"
7,법무법인한서,"서울특별시 서초구 반포대로 138 (서초동, 양진빌딩) 5층"
8,법무법인태승,서울특별시 서초구 서초동 1573-10 로이어즈타워 301호
9,법무법인천우,"서울특별시 서초구 서초대로41길 20 (서초동, 화인빌딩) 3층"
10,법무법인송원,"서울특별시 종로구 종로 344 (숭인동, 대우디오빌) 304호"
11,법무법인충정,서울특별시 중구 태평로2가 120 (대경빌딩) 9층
12,법무법인금성,서울특별시 서초구 서초동 1552의13
13,세계법무법인,서울특별시 서초구 서초동 1572의4삼송빌딩4층
14,법무법인미래,서울특별시 서초구 서초동 1706의10 푸른솔빌딩 2층
15,(대행청)밀양지청,경상남도 밀양시 내이동 428
16,(대행청)남원지청,전라북도 남원시 동충동 전주지방검찰청남원지청 남원지청
17,(대행청)의성지청,경상북도 의성군 의성읍 중리리 748
18,법무법인시민,경기도 안양시 동안구 비산동 1112번지 삼성생명빌딩 2층
19,법무법인법가,광주광역시 동구 지산동 342-12
20,법무법인을지,"서울특별시 서초구 서초대로 266 (서초동, 아스트라) 11층"
21,법무법인두레,"서울특별시 서초구 법원로 10 (서초동, 정곡빌딩남관) 4층 405"
22,법무법인서울중앙,서울특별시 서초구 서초동 1714-21 웰컴빌딩 102호
23,법무법인서석,광주광역시 동구 지산동 715-2 법조타운 109호
24,(대행청)영동지청,충청북도 영동군 영동황간로 77 (영동읍) 304-3
25,법무법인한강,"서울특별시 강남구 테헤란로8길 8 (역삼동, 홍은.동주빌딩) 4층"
26,법무법인삼원,경기도 안산시 단원구 고잔동 710 중앙법조빌딩 105호
27,법무법인아시아,"서울특별시 서초구 서초중앙로 145 (서초동, 중산빌딩) 3층"
28,법무법인하나,"서울특별시 서초구 서초대로 277 (서초동, 기영빌딩) 4~5층"
29,법무법인이데아,"서울특별시 서초구 법원로3길 20-3 (서초동, 은곡빌딩) 1층"
30,법무법인양헌,"서울특별시 중구 세종대로 55 (태평로2가, 부영태평빌딩) 25층"
31,공증인가성광합동법률사무소,"대구광역시 수성구 범어동 174-1 성광빌딩 4, 5층"
32,공증인김양진사무소,전라남도 순천시 조례동 522
33,법무법인메리트,서울특별시 서초구 서초3동 1554의5한승아스트라빌딩10층
34,법무법인새천년,"전라남도 목포시 용해동 807-1 1,2,3층"
35,법무법인해냄,"서울특별시 강남구 삼성로 608 (삼성동, 우창빌딩) 4층"
36,법무법인태양,"대구광역시 수성구 범어동 173-1 상영빌딩 2, 3층"
37,법무법인하나로,"서울특별시 강동구 양재대로 1424 (둔촌동, 하나빌딩) 하나빌딩 201호"
38,법무법인비전,서울특별시 서초구 법원로3길 10 (서초동)
39,법무법인길도,"서울특별시 서초구 법원로2길 15 (서초동, 길도빌딩) 401호"
40,법무법인해승,"서울특별시 서초구 서초대로 240 (서초동, 서초동동일하이빌) 608-611호"
41,법무법인케이씨엘,"서울특별시 종로구 종로5길 58 (수송동, 석탄회관빌딩) 2층"
42,법무법인광장,"서울특별시 중구 남대문로 63 (소공동, 한진빌딩) 본관 20층"
43,홍익법무법인,"서울특별시 중구 서소문로 103 (서소문동, 배재빌딩) 402호 (서소문동, 배재빌딩)"
44,경북합동법률사무소,대구광역시 중구 공평동 70
45,우리하나로법률사무소,경상북도 구미시 송원동로 7 (송정동) 301호
46,법무법인(유한)한별,"서울특별시 강남구 테헤란로 124 (역삼동, 풍림빌딩) 703호"
